epoch,val_auc
1,0.7757
2,0.7845
3,0.7911
4,0.7895
5,0.7925
6,0.8877
7,0.8766
8,0.8819
9,0.8886
10,0.8745
11,0.8662
12,0.8627
13,0.8621
14,0.8631
15,0.862
16,0.8119
