epoch,val_auc
1,0.7163
2,0.7544
3,0.7676
4,0.7731
5,0.7763
6,0.888
7,0.8949
8,0.8987
9,0.8953
10,0.8957
11,0.895
12,0.8898
13,0.8912
14,0.8968
15,0.8954
