Model,AUC-ROC,AUC 95% CI,F1,Precision,Recall,Specificity,Balanced Acc,TP,FP,FN,TN
DenseNet121,0.8936,"[0.883, 0.905]",0.1904,0.106,0.933,0.6683,0.8006,487,4107,35,8274
ResNet50,0.8973,"[0.885, 0.908]",0.2353,0.1361,0.8678,0.7677,0.8178,453,2876,69,9505
EfficientNet-B4,0.8315,"[0.817, 0.846]",0.0998,0.0526,0.9885,0.2489,0.6187,516,9299,6,3082
