Model,Criterion,AUC,threshold,F1,Precision,Recall,Specificity,Balanced Acc
DenseNet121,default 0.5,0.8936,0.5,0.1904,0.106,0.933,0.6683,0.8006
DenseNet121,Youden J,0.8936,0.9043,0.2594,0.1545,0.8084,0.8134,0.8109
DenseNet121,F1-optimal,0.8936,0.99,0.356,0.2704,0.5211,0.9407,0.7309
ResNet50,default 0.5,0.8973,0.5,0.2353,0.1361,0.8678,0.7677,0.8178
ResNet50,Youden J,0.8973,0.6011,0.2489,0.1459,0.8467,0.7911,0.8189
ResNet50,F1-optimal,0.8973,0.99,0.3729,0.3119,0.4636,0.9569,0.7102
EfficientNet-B4,default 0.5,0.8315,0.5,0.0998,0.0526,0.9885,0.2489,0.6187
EfficientNet-B4,Youden J,0.8315,0.9419,0.1951,0.1123,0.7414,0.7529,0.7472
EfficientNet-B4,F1-optimal,0.8315,0.99,0.2522,0.2554,0.249,0.9694,0.6092
