Model,target_recall,threshold,achieved_recall,Precision,Specificity,FP_per_1000_scans
DenseNet121,0.85,0.851,0.8506,0.1406,0.7809,210.3
DenseNet121,0.9,0.669,0.9004,0.117,0.7136,274.8
DenseNet121,0.95,0.39,0.9502,0.0992,0.6363,349.0
ResNet50,0.85,0.573,0.8506,0.1426,0.7844,206.9
ResNet50,0.9,0.338,0.9004,0.1226,0.7283,260.7
ResNet50,0.95,0.115,0.9502,0.0997,0.6383,347.1
EfficientNet-B4,0.85,0.912,0.8525,0.0974,0.667,319.5
EfficientNet-B4,0.9,0.882,0.9004,0.0877,0.6051,378.9
EfficientNet-B4,0.95,0.821,0.9502,0.0756,0.51,470.2
