epoch,train_loss,train_auc,val_loss,val_auc
1,2.0722,0.5697,2.7898,0.7444
2,1.8423,0.7364,2.4595,0.7765
3,1.7626,0.7636,2.5829,0.783
4,1.7352,0.7703,2.4388,0.7849
5,1.7258,0.7769,2.4996,0.7881
6,1.2366,0.8924,1.2337,0.893
7,0.8622,0.941,1.2169,0.89
8,0.6922,0.957,1.0006,0.8971
9,0.5536,0.9693,1.059,0.8927
10,0.497,0.9735,1.1561,0.8792
11,0.4312,0.9788,1.1848,0.8836
12,0.3759,0.9823,1.3338,0.8828
13,0.3475,0.984,1.2454,0.8788
14,0.3207,0.9858,1.3459,0.8772
15,0.318,0.9868,1.4113,0.8802
